,cell_type,gbar_Im,gbar_Ih,gbar_NaTs,gbar_Nap,gbar_K_P,gbar_K_T,gbar_SK,gbar_Kv3_1,gbar_Ca_HVA,gbar_Ca_LVA,gamma_CaDynamics,decay_CaDynamics,soma_g_pas,axon_g_pas,dend_g_pas,apic_g_pas,gbar_NaV,gbar_Kd,gbar_Kv2like,gbar_Im_v2,cre_line,dendrite_type
2069,False,,,,,,,,,,,,,,,,,,,,,Sst-IRES-Cre,aspiny
2070,False,,,,,,,,,,,,,,,,,,,,,Human,aspiny
2071,False,,0.000630482693684116,,,,0.00012292353566445424,0.0015468385719001525,0.07567281651372185,0.0003672524432120503,0.002392913630866444,0.003323926687563785,999.4913631685448,1.5032744710611518e-05,4.751476148225428e-06,1.8016753001730167e-07,3.042839452236405e-05,0.5595196552948816,0.03421456419230795,1.612668044096853e-05,0.00017812356107475006,Human,spiny
2072,False,,,,,,,,,,,,,,,,,,,,,Pvalb-IRES-Cre,aspiny
2073,False,,,,,,,,,,,,,,,,,,,,,Ndnf-IRES2-dgCre,aspiny
2074,False,,,,,,,,,,,,,,,,,,,,,Human,spiny
2075,False,,,,,,,,,,,,,,,,,,,,,Htr3a-Cre_NO152,sparsely spiny
2076,Htr3a-Cre_NO152__L2/3__inh,,0.0005110727618774756,,,,0.016411682622932744,9.11673105630778e-07,0.10136078569650776,7.446652680055027e-05,0.002758243456507889,0.0025840290732300213,329.79591497171873,0.00018433162705628345,2.239179017577383e-06,1.2832168098032185e-05,,0.04724971318486478,2.5245565693320234e-07,8.209648732478944e-05,0.006800172079055678,Htr3a-Cre_NO152,aspiny
2077,False,,,,,,,,,,,,,,,,,,,,,Nr5a1-Cre,spiny
2078,False,,,,,,,,,,,,,,,,,,,,,Cux2-CreERT2,spiny
2079,False,,,,,,,,,,,,,,,,,,,,,Pvalb-IRES-Cre,aspiny
2080,False,,,,,,,,,,,,,,,,,,,,,Rbp4-Cre_KL100,spiny
2081,False,,,,,,,,,,,,,,,,,,,,,Chat-IRES-Cre-neo,aspiny
